reaction_id,product,Conversion,solvent,catalyst,ligand,reactant2,reactant1,base
14,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,4.75,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
15,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.46,CC#N,CC(=O)O~CC(=O)O~[Pd],CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
16,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,5.27,CC#N,CC(=O)O~CC(=O)O~[Pd],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
17,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,1.96,CC#N,CC(=O)O~CC(=O)O~[Pd],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
18,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,3.35,CC#N,CC(=O)O~CC(=O)O~[Pd],CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
19,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,69.22,CC#N,CC(=O)O~CC(=O)O~[Pd],COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
20,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,5.1,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
21,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,83.19,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
22,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,13.68,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
23,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,1.82,CC#N,CC(=O)O~CC(=O)O~[Pd],CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
24,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,10.99,CC#N,CC(=O)O~CC(=O)O~[Pd],blanck_cell,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=C([O-])O.[Na+]
25,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,1.79,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C(C)(C)C)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
26,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,4.36,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
27,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.71,CC#N,CC(=O)O~CC(=O)O~[Pd],CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
28,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,6.49,CC#N,CC(=O)O~CC(=O)O~[Pd],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
29,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.1,CC#N,CC(=O)O~CC(=O)O~[Pd],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
30,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,3.32,CC#N,CC(=O)O~CC(=O)O~[Pd],CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
31,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,68.44,CC#N,CC(=O)O~CC(=O)O~[Pd],COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
32,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,5.84,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
33,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,73.02,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
34,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,13.2,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
35,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.1,CC#N,CC(=O)O~CC(=O)O~[Pd],CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
36,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,10.22,CC#N,CC(=O)O~CC(=O)O~[Pd],blanck_cell,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[Cs+].[F-]
37,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,3.0,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C(C)(C)C)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
38,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,4.73,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
39,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.58,CC#N,CC(=O)O~CC(=O)O~[Pd],CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
40,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,5.83,CC#N,CC(=O)O~CC(=O)O~[Pd],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
41,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,1.88,CC#N,CC(=O)O~CC(=O)O~[Pd],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
42,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,3.69,CC#N,CC(=O)O~CC(=O)O~[Pd],CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
43,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,53.34,CC#N,CC(=O)O~CC(=O)O~[Pd],COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
44,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,5.8,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
45,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,60.67,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
46,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,14.39,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
47,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.27,CC#N,CC(=O)O~CC(=O)O~[Pd],CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
48,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,10.0,CC#N,CC(=O)O~CC(=O)O~[Pd],blanck_cell,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,O=P([O-])([O-])[O-].[K+].[K+].
49,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,5.6,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C(C)(C)C)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
50,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,4.82,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
51,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.49,CC#N,CC(=O)O~CC(=O)O~[Pd],CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
52,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,6.46,CC#N,CC(=O)O~CC(=O)O~[Pd],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
53,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.06,CC#N,CC(=O)O~CC(=O)O~[Pd],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
54,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,3.22,CC#N,CC(=O)O~CC(=O)O~[Pd],CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
55,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,78.42,CC#N,CC(=O)O~CC(=O)O~[Pd],COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
56,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,8.94,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
57,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,92.22,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
58,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,14.22,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
59,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.35,CC#N,CC(=O)O~CC(=O)O~[Pd],CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
60,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,18.16,CC#N,CC(=O)O~CC(=O)O~[Pd],blanck_cell,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,[K+].[OH-]
61,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,7.08,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C(C)(C)C)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
62,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,5.45,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
63,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,1.99,CC#N,CC(=O)O~CC(=O)O~[Pd],CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
64,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,6.08,CC#N,CC(=O)O~CC(=O)O~[Pd],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
65,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.45,CC#N,CC(=O)O~CC(=O)O~[Pd],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
66,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,3.57,CC#N,CC(=O)O~CC(=O)O~[Pd],CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
67,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,85.77,CC#N,CC(=O)O~CC(=O)O~[Pd],COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
68,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,9.78,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
69,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,92.83,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
70,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,15.41,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
71,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.43,CC#N,CC(=O)O~CC(=O)O~[Pd],CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
72,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,17.18,CC#N,CC(=O)O~CC(=O)O~[Pd],blanck_cell,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CC(C)(C)[O-].[Li+]
73,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,7.82,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C(C)(C)C)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CCN(CC)CC
74,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,6.14,CC#N,CC(=O)O~CC(=O)O~[Pd],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CCN(CC)CC
75,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,2.13,CC#N,CC(=O)O~CC(=O)O~[Pd],CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CCN(CC)CC
76,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,5.05,CC#N,CC(=O)O~CC(=O)O~[Pd],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CCN(CC)CC
77,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,1.98,CC#N,CC(=O)O~CC(=O)O~[Pd],Cc1ccccc1P(c1ccccc1C)c1ccccc1C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CCN(CC)CC
78,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,4.47,CC#N,CC(=O)O~CC(=O)O~[Pd],CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CCN(CC)CC
79,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,78.96,CC#N,CC(=O)O~CC(=O)O~[Pd],COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CCN(CC)CC
80,Cc1ccc2c(cnn2C2CCCCO2)c1-c1ccc2ncccc2c1,7.0,CC#N,CC(=O)O~CC(=O)O~[Pd],CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C,Cc1ccc2c(cnn2C2CCCCO2)c1B(O)O,Clc1ccc2ncccc2c1,CCN(CC)CC
