ligand_smiles,electrophile_smiles,nucleophile_smiles,product_smiles,yield
c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,8.35
CP(c1ccccc1)c1ccccc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,3.47
CC(C)(C)P(c1ccccc1)C(C)(C)C,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,3.78
CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,55.12
CP(C)c1ccccc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,3.45
c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,17.64
C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,5.32
CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,44.43
c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,11.41
CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,10.67
CCCCP(CCCC)CCCC,CCOC(=O)c1cc(Br)cn1CC,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,4.86
CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,86.21
COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,85.76
CCCCC1(P(C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,63.81
Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,86.08
CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,89.01
CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,88.55
c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,90.49
COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,84.44
COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,35.0
CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,89.42
COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,91.07
FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,83.51
c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,89.29
c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,21.8
CP(c1ccccc1)c1ccccc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,93.57
CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,92.06
CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,92.83
CP(C)c1ccccc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,92.91
c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,90.82
C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,80.36
CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,88.24
c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,83.9
CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,79.09
CCCCP(CCCC)CCCC,CC(=O)c1ccc(Br)s1,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,89.2
CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,65.05
COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,11.47
CCCCC1(P(C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,3.4
Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,63.86
CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,65.86
CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,63.32
c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,66.61
COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,45.26
COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,8.6
CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,61.02
COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,67.22
FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,54.43
c1coc(P(c2ccco2)c2ccco2)c1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,57.96
c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,52.55
CP(c1ccccc1)c1ccccc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,19.49
CC(C)(C)P(c1ccccc1)C(C)(C)C,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,67.36
CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,70.68
CP(C)c1ccccc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,19.98
c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,67.55
C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,62.89
CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,69.21
c1ccc(P(c2ccccc2)c2ccccc2)cc1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,61.55
CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,67.34
CCCCP(CCCC)CCCC,Brc1ccc2occc2c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,43.98
CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,79.94
COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,64.99
CCCCC1(P(C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,14.98
Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,77.41
CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,75.29
CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,73.61
c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,74.29
COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,72.44
COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,21.07
CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,79.44
COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,76.75
FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,70.8
c1coc(P(c2ccco2)c2ccco2)c1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,73.31
c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,8.07
CP(c1ccccc1)c1ccccc1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,79.67
CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,80.35
CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,79.79
CP(C)c1ccccc1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,79.94
c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,78.48
C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,47.28
CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,80.18
c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,77.37
CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,81.25
CCCCP(CCCC)CCCC,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,77.33
CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,1.17
COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,1.17
CCCCC1(P(C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,1.17
Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,1.17
CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,34.04
CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,32.94
c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,21.87
COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,27.37
COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,13.31
CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,30.21
COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,29.5
FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,23.74
c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,31.61
c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,1.17
CP(c1ccccc1)c1ccccc1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,33.33
CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,33.5
CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,33.47
CP(C)c1ccccc1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,33.34
c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,33.8
C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,1.7
CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,23.25
c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,4.4
CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,21.59
CCCCP(CCCC)CCCC,CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,2.66
CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)n1ccnc1,CC(C)n1cncc1-c1ccc2c(ccn2Cc2ccccc2)c1,9.62
COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Brc1ccc2c(ccn2Cc2ccccc2)c1,CC(C)n1ccnc1,CC(C)n1cncc1-c1ccc2c(ccn2Cc2ccccc2)c1,1.16
