ligand,base,solvent,ligand_equivalent,objective_conversion,objective_selectivity
dtbpf,NaHCO3,MeOH,0.0625,19.6,21.428571428571427
dtbpf,CsF,MeOH,0.0625,20.7,25.120772946859905
dtbpf,K3PO4,MeOH,0.0625,19.7,21.82741116751269
dtbpf,KOH,MeOH,0.0625,19.8,24.24242424242425
dtbpf,Cs2CO3,MeOH,0.0625,15.8,21.51898734177215
dtbpf,KOAc,MeOH,0.0625,16.1,19.875776397515526
dtbpf,None,MeOH,0.0625,13.0,20.0
XPhos,NaOH,MeOH,0.0625,77.9,83.31193838254171
XPhos,NaHCO3,MeOH,0.0625,79.39999999999999,83.50125944584383
XPhos,CsF,MeOH,0.0625,72.7,82.80605226960111
XPhos,K3PO4,MeOH,0.0625,53.8,77.32342007434944
XPhos,KOH,MeOH,0.0625,46.0,72.6086956521739
XPhos,Cs2CO3,MeOH,0.0625,41.0,70.73170731707317
XPhos,KOAc,MeOH,0.0625,51.4,74.12451361867704
XPhos,None,MeOH,0.0625,33.5,63.28358208955224
dppf,NaOH,MeOH,0.0625,40.5,52.8395061728395
dppf,NaHCO3,MeOH,0.0625,36.3,67.49311294765839
dppf,CsF,MeOH,0.0625,35.3,65.43909348441927
dppf,K3PO4,MeOH,0.0625,36.0,62.77777777777778
dppf,KOH,MeOH,0.0625,28.3,49.1166077738516
dppf,Cs2CO3,MeOH,0.0625,35.4,40.96045197740113
dppf,KOAc,MeOH,0.0625,25.5,53.333333333333336
dppf,None,MeOH,0.0625,20.0,54.50000000000001
Xanthphos,NaOH,MeOH,0.0625,12.2,41.80327868852459
Xanthphos,NaHCO3,MeOH,0.0625,7.8,32.05128205128205
Xanthphos,CsF,MeOH,0.0625,9.7,32.98969072164949
Xanthphos,K3PO4,MeOH,0.0625,8.5,31.764705882352946
Xanthphos,KOH,MeOH,0.0625,10.2,40.19607843137255
Xanthphos,Cs2CO3,MeOH,0.0625,12.0,35.833333333333336
Xanthphos,KOAc,MeOH,0.0625,7.6,23.68421052631579
Xanthphos,None,MeOH,0.0625,7.399999999999999,24.324324324324326
P(tBu)3,NaOH,MeCN,0.125,38.2,69.63350785340315
P(tBu)3,NaHCO3,MeCN,0.125,42.8,52.10280373831775
P(tBu)3,CsF,MeCN,0.125,21.3,24.413145539906104
P(tBu)3,K3PO4,MeCN,0.125,29.8,54.0268456375839
P(tBu)3,KOH,MeCN,0.125,24.0,34.583333333333336
P(tBu)3,Cs2CO3,MeCN,0.125,20.1,54.72636815920397
P(tBu)3,KOAc,MeCN,0.125,18.4,10.326086956521738
P(tBu)3,None,MeCN,0.125,22.1,12.21719457013575
P(Ph)3,NaOH,MeCN,0.125,16.7,36.52694610778443
P(Ph)3,NaHCO3,MeCN,0.125,34.6,67.05202312138728
P(Ph)3,CsF,MeCN,0.125,37.9,76.2532981530343
P(Ph)3,K3PO4,MeCN,0.125,25.1,79.6812749003984
P(Ph)3,KOH,MeCN,0.125,13.3,75.18796992481204
P(Ph)3,Cs2CO3,MeCN,0.125,22.9,74.67248908296943
P(Ph)3,KOAc,MeCN,0.125,12.1,60.33057851239669
P(Ph)3,None,MeCN,0.125,27.1,79.33579335793357
AmPhos,NaOH,MeCN,0.125,13.3,31.57894736842105
AmPhos,NaHCO3,MeCN,0.125,31.8,62.8930817610063
AmPhos,CsF,MeCN,0.125,31.6,63.29113924050633
AmPhos,K3PO4,MeCN,0.125,30.8,62.66233766233766
AmPhos,KOH,MeCN,0.125,29.4,62.24489795918368
AmPhos,Cs2CO3,MeCN,0.125,25.3,58.49802371541502
AmPhos,KOAc,MeCN,0.125,21.2,50.943396226415096
AmPhos,None,MeCN,0.125,26.7,55.0561797752809
P(Cy)3,NaOH,MeCN,0.125,33.2,67.46987951807229
P(Cy)3,NaHCO3,MeCN,0.125,32.2,67.3913043478261
P(Cy)3,CsF,MeCN,0.125,15.999999999999998,60.62500000000001
P(Cy)3,K3PO4,MeCN,0.125,10.3,66.99029126213593
P(Cy)3,KOH,MeCN,0.125,7.800000000000001,55.12820512820512
P(Cy)3,Cs2CO3,MeCN,0.125,7.300000000000001,43.83561643835616
P(Cy)3,KOAc,MeCN,0.125,3.8,23.68421052631579
P(Cy)3,None,MeCN,0.125,7.0,30.0
P(o-Tol)3,NaOH,MeCN,0.125,11.5,4.3478260869565215
P(o-Tol)3,NaHCO3,MeCN,0.125,13.7,2.18978102189781
P(o-Tol)3,CsF,MeCN,0.125,12.0,3.333333333333333
P(o-Tol)3,K3PO4,MeCN,0.125,9.7,2.061855670103093
P(o-Tol)3,KOH,MeCN,0.125,10.5,1.9047619047619049
P(o-Tol)3,Cs2CO3,MeCN,0.125,10.3,1.9417475728155336
P(o-Tol)3,KOAc,MeCN,0.125,8.6,3.488372093023256
P(o-Tol)3,None,MeCN,0.125,9.1,1.0989010989010988
CataCXium A,NaOH,MeCN,0.125,9.1,5.494505494505495
CataCXium A,NaHCO3,MeCN,0.125,7.199999999999999,8.333333333333334
CataCXium A,CsF,MeCN,0.125,7.1,11.267605633802818
CataCXium A,K3PO4,MeCN,0.125,12.9,36.43410852713178
CataCXium A,KOH,MeCN,0.125,12.4,35.483870967741936
CataCXium A,Cs2CO3,MeCN,0.125,12.7,33.85826771653544
CataCXium A,KOAc,MeCN,0.125,14.1,36.87943262411348
CataCXium A,None,MeCN,0.125,0.0,0.0
SPhos,NaOH,MeCN,0.0625,13.3,3.007518796992482
SPhos,NaHCO3,MeCN,0.0625,10.5,3.8095238095238098
SPhos,CsF,MeCN,0.0625,10.9,5.504587155963303
SPhos,K3PO4,MeCN,0.0625,9.2,4.347826086956522
SPhos,KOH,MeCN,0.0625,8.0,6.25
SPhos,Cs2CO3,MeCN,0.0625,10.3,2.912621359223301
SPhos,KOAc,MeCN,0.0625,7.8,7.6923076923076925
SPhos,None,MeCN,0.0625,7.2,6.944444444444445
dtbpf,NaOH,MeCN,0.0625,9.3,8.602150537634408
dtbpf,NaHCO3,MeCN,0.0625,7.1,7.042253521126761
dtbpf,CsF,MeCN,0.0625,7.7,9.09090909090909
dtbpf,K3PO4,MeCN,0.0625,6.4,6.25
dtbpf,KOH,MeCN,0.0625,4.2,11.904761904761903
dtbpf,Cs2CO3,MeCN,0.0625,7.9,10.126582278481012
dtbpf,KOAc,MeCN,0.0625,5.4,5.555555555555556
dtbpf,None,MeCN,0.0625,4.1,12.195121951219514
XPhos,NaOH,MeCN,0.0625,9.5,3.1578947368421053
XPhos,NaHCO3,MeCN,0.0625,11.2,1.785714285714286
XPhos,CsF,MeCN,0.0625,8.7,0.0
XPhos,K3PO4,MeCN,0.0625,9.7,16.494845360824744
XPhos,KOH,MeCN,0.0625,9.7,11.34020618556701
XPhos,Cs2CO3,MeCN,0.0625,10.6,24.528301886792452
XPhos,KOAc,MeCN,0.0625,9.2,13.043478260869565
XPhos,None,MeCN,0.0625,9.2,17.39130434782609
dppf,NaOH,MeCN,0.0625,4.9,10.20408163265306
dppf,NaHCO3,MeCN,0.0625,5.6,17.857142857142858
dppf,CsF,MeCN,0.0625,5.9,16.949152542372882
dppf,K3PO4,MeCN,0.0625,4.8,20.833333333333336
dppf,KOH,MeCN,0.0625,4.6,15.217391304347828
dppf,Cs2CO3,MeCN,0.0625,6.0,15.0
dppf,KOAc,MeCN,0.0625,4.5,15.555555555555555
dppf,None,MeCN,0.0625,4.9,18.367346938775515
Xanthphos,NaOH,MeCN,0.0625,4.8,0.0
Xanthphos,NaHCO3,MeCN,0.0625,4.4,2.272727272727273
Xanthphos,CsF,MeCN,0.0625,4.1,0.0
Xanthphos,K3PO4,MeCN,0.0625,6.4,0.0
Xanthphos,KOH,MeCN,0.0625,4.0,0.0
Xanthphos,Cs2CO3,MeCN,0.0625,6.2,0.0
Xanthphos,KOAc,MeCN,0.0625,5.4,0.0
Xanthphos,None,MeCN,0.0625,3.4000000000000004,0.0
P(tBu)3,NaOH,THF,0.125,10.8,9.25925925925926
P(tBu)3,NaHCO3,THF,0.125,33.7,1.1869436201780417
P(tBu)3,CsF,THF,0.125,6.800000000000001,5.88235294117647
P(tBu)3,K3PO4,THF,0.125,5.5,9.090909090909092
P(tBu)3,KOH,THF,0.125,7.6,5.2631578947368425
P(tBu)3,Cs2CO3,THF,0.125,9.6,3.125
P(tBu)3,KOAc,THF,0.125,10.1,1.98019801980198
P(tBu)3,None,THF,0.125,15.3,1.3071895424836604
P(Ph)3,NaOH,THF,0.125,13.7,15.328467153284672
P(Ph)3,NaHCO3,THF,0.125,11.6,22.41379310344828
P(Ph)3,CsF,THF,0.125,10.4,34.61538461538461
P(Ph)3,K3PO4,THF,0.125,9.1,27.47252747252747
P(Ph)3,KOH,THF,0.125,10.0,22.000000000000004
P(Ph)3,Cs2CO3,THF,0.125,8.4,21.428571428571427
P(Ph)3,KOAc,THF,0.125,4.5,26.666666666666668
P(Ph)3,None,THF,0.125,8.0,15.0
AmPhos,NaOH,THF,0.125,11.2,1.785714285714286
AmPhos,NaHCO3,THF,0.125,11.1,0.9009009009009008
AmPhos,CsF,THF,0.125,8.5,0.0
AmPhos,K3PO4,THF,0.125,5.6,0.0
AmPhos,KOH,THF,0.125,1.7,0.0
AmPhos,Cs2CO3,THF,0.125,1.8,0.0
AmPhos,KOAc,THF,0.125,3.9,5.128205128205129
AmPhos,None,THF,0.125,6.7,1.4925373134328357
P(Cy)3,NaOH,THF,0.125,7.6,3.947368421052632
P(Cy)3,NaHCO3,THF,0.125,7.9,0.0
P(Cy)3,CsF,THF,0.125,7.4,0.0
P(Cy)3,K3PO4,THF,0.125,5.8,0.0
P(Cy)3,KOH,THF,0.125,4.800000000000001,4.166666666666666
P(Cy)3,Cs2CO3,THF,0.125,4.6,2.173913043478261
P(Cy)3,KOAc,THF,0.125,6.5,0.0
P(Cy)3,None,THF,0.125,4.5,0.0
P(o-Tol)3,NaOH,THF,0.125,8.0,5.0
P(o-Tol)3,NaHCO3,THF,0.125,7.6,6.578947368421052
P(o-Tol)3,CsF,THF,0.125,7.700000000000001,6.493506493506493
P(o-Tol)3,K3PO4,THF,0.125,6.6,6.060606060606061
P(o-Tol)3,KOH,THF,0.125,7.1,5.633802816901409
P(o-Tol)3,Cs2CO3,THF,0.125,2.5,16.0
P(o-Tol)3,KOAc,THF,0.125,5.0,8.0
P(o-Tol)3,None,THF,0.125,2.3000000000000003,8.695652173913043
CataCXium A,NaOH,THF,0.125,4.6,0.0
CataCXium A,NaHCO3,THF,0.125,4.5,0.0
CataCXium A,CsF,THF,0.125,4.6,0.0
CataCXium A,K3PO4,THF,0.125,2.0,0.0
CataCXium A,KOH,THF,0.125,1.8,0.0
CataCXium A,Cs2CO3,THF,0.125,1.8,0.0
CataCXium A,KOAc,THF,0.125,1.8,0.0
CataCXium A,None,THF,0.125,4.0,0.0
SPhos,NaOH,THF,0.0625,9.5,0.0
SPhos,NaHCO3,THF,0.0625,4.7,0.0
SPhos,CsF,THF,0.0625,4.2,0.0
SPhos,K3PO4,THF,0.0625,4.6,0.0
SPhos,KOH,THF,0.0625,4.300000000000001,0.0
SPhos,Cs2CO3,THF,0.0625,4.8,0.0
SPhos,KOAc,THF,0.0625,2.0,0.0
SPhos,None,THF,0.0625,4.6,0.0
dtbpf,NaOH,THF,0.0625,5.300000000000001,11.32075471698113
dtbpf,NaHCO3,THF,0.0625,5.4,9.25925925925926
dtbpf,CsF,THF,0.0625,4.7,14.893617021276595
dtbpf,K3PO4,THF,0.0625,4.9,20.40816326530612
dtbpf,KOH,THF,0.0625,5.1,13.725490196078432
dtbpf,Cs2CO3,THF,0.0625,2.0,0.0
dtbpf,KOAc,THF,0.0625,2.4,12.5
dtbpf,None,THF,0.0625,4.800000000000001,4.166666666666666
XPhos,NaOH,THF,0.0625,5.0,6.0
XPhos,NaHCO3,THF,0.0625,5.0,0.0
XPhos,CsF,THF,0.0625,4.7,0.0
XPhos,K3PO4,THF,0.0625,2.0,0.0
XPhos,KOH,THF,0.0625,1.8,0.0
XPhos,Cs2CO3,THF,0.0625,1.7,0.0
XPhos,KOAc,THF,0.0625,1.7,0.0
XPhos,None,THF,0.0625,1.9,0.0
dppf,NaOH,THF,0.0625,8.0,2.5
dppf,NaHCO3,THF,0.0625,8.2,0.0
dppf,CsF,THF,0.0625,15.1,0.0
dppf,K3PO4,THF,0.0625,11.8,0.0
dppf,KOH,THF,0.0625,4.199999999999999,9.523809523809526
dppf,Cs2CO3,THF,0.0625,4.9,10.20408163265306
dppf,KOAc,THF,0.0625,3.4,14.705882352941178
dppf,None,THF,0.0625,4.4,13.636363636363637
Xanthphos,NaOH,THF,0.0625,3.7,5.405405405405405
Xanthphos,NaHCO3,THF,0.0625,2.4,20.833333333333336
Xanthphos,CsF,THF,0.0625,1.9,0.0
Xanthphos,K3PO4,THF,0.0625,2.7,29.629629629629623
Xanthphos,KOH,THF,0.0625,3.0,40.0
Xanthphos,Cs2CO3,THF,0.0625,1.8,0.0
Xanthphos,KOAc,THF,0.0625,1.8,0.0
Xanthphos,None,THF,0.0625,2.6,0.0
P(tBu)3,NaOH,DMF,0.125,24.0,0.0
P(tBu)3,NaHCO3,DMF,0.125,21.0,0.0
P(tBu)3,CsF,DMF,0.125,14.7,0.0
P(tBu)3,K3PO4,DMF,0.125,13.7,0.0
P(tBu)3,KOH,DMF,0.125,18.4,0.0
P(tBu)3,Cs2CO3,DMF,0.125,19.2,0.0
P(tBu)3,KOAc,DMF,0.125,19.6,0.0
P(tBu)3,None,DMF,0.125,21.9,0.0
P(Ph)3,NaOH,DMF,0.125,23.8,0.0
P(Ph)3,NaHCO3,DMF,0.125,10.2,0.0
P(Ph)3,CsF,DMF,0.125,3.4000000000000004,0.0
P(Ph)3,K3PO4,DMF,0.125,3.3,0.0
P(Ph)3,KOH,DMF,0.125,4.1,0.0
P(Ph)3,Cs2CO3,DMF,0.125,4.1,0.0
P(Ph)3,KOAc,DMF,0.125,5.3,32.075471698113205
P(Ph)3,None,DMF,0.125,3.8,0.0
AmPhos,NaOH,DMF,0.125,22.2,0.0
AmPhos,NaHCO3,DMF,0.125,16.3,0.0
AmPhos,CsF,DMF,0.125,14.9,0.0
AmPhos,K3PO4,DMF,0.125,17.8,0.0
AmPhos,KOH,DMF,0.125,14.8,0.0
AmPhos,Cs2CO3,DMF,0.125,15.6,0.0
AmPhos,KOAc,DMF,0.125,4.3,0.0
AmPhos,None,DMF,0.125,67.10000000000001,0.0
P(Cy)3,NaOH,DMF,0.125,33.9,0.0
P(Cy)3,NaHCO3,DMF,0.125,15.3,0.0
P(Cy)3,CsF,DMF,0.125,9.7,0.0
P(Cy)3,K3PO4,DMF,0.125,5.4,0.0
P(Cy)3,KOH,DMF,0.125,3.8,0.0
P(Cy)3,Cs2CO3,DMF,0.125,11.8,0.0
P(Cy)3,KOAc,DMF,0.125,15.8,0.0
P(Cy)3,None,DMF,0.125,11.3,0.0
P(o-Tol)3,NaOH,DMF,0.125,8.7,0.0
P(o-Tol)3,NaHCO3,DMF,0.125,0.0,0.0
P(o-Tol)3,CsF,DMF,0.125,0.0,0.0
P(o-Tol)3,K3PO4,DMF,0.125,0.0,0.0
P(o-Tol)3,KOH,DMF,0.125,0.0,0.0
P(o-Tol)3,Cs2CO3,DMF,0.125,0.0,0.0
P(o-Tol)3,KOAc,DMF,0.125,0.0,0.0
P(o-Tol)3,None,DMF,0.125,0.0,0.0
CataCXium A,NaOH,DMF,0.125,0.0,0.0
CataCXium A,NaHCO3,DMF,0.125,0.0,0.0
CataCXium A,CsF,DMF,0.125,0.0,0.0
CataCXium A,K3PO4,DMF,0.125,0.0,0.0
CataCXium A,KOH,DMF,0.125,0.0,0.0
CataCXium A,Cs2CO3,DMF,0.125,12.6,0.0
CataCXium A,KOAc,DMF,0.125,6.8,0.0
CataCXium A,None,DMF,0.125,0.0,0.0
SPhos,NaOH,DMF,0.0625,9.2,100.0
SPhos,NaHCO3,DMF,0.0625,0.0,0.0
SPhos,CsF,DMF,0.0625,0.0,0.0
SPhos,K3PO4,DMF,0.0625,0.0,0.0
SPhos,KOH,DMF,0.0625,0.0,0.0
SPhos,Cs2CO3,DMF,0.0625,14.5,0.0
SPhos,KOAc,DMF,0.0625,0.0,0.0
SPhos,None,DMF,0.0625,0.0,0.0
dtbpf,NaOH,DMF,0.0625,3.8,0.0
dtbpf,NaHCO3,DMF,0.0625,0.0,0.0
dtbpf,CsF,DMF,0.0625,0.0,0.0
dtbpf,K3PO4,DMF,0.0625,3.1,0.0
dtbpf,KOH,DMF,0.0625,3.4,0.0
dtbpf,Cs2CO3,DMF,0.0625,0.0,0.0
dtbpf,KOAc,DMF,0.0625,0.0,0.0
dtbpf,None,DMF,0.0625,0.0,0.0
XPhos,NaOH,DMF,0.0625,12.1,0.0
XPhos,NaHCO3,DMF,0.0625,21.200000000000003,0.0
XPhos,CsF,DMF,0.0625,24.2,0.0
XPhos,K3PO4,DMF,0.0625,29.2,0.0
XPhos,KOH,DMF,0.0625,27.3,0.0
XPhos,Cs2CO3,DMF,0.0625,22.8,0.0
XPhos,KOAc,DMF,0.0625,18.5,0.0
XPhos,None,DMF,0.0625,22.3,0.0
dppf,NaOH,DMF,0.0625,19.0,68.94736842105263
dppf,NaHCO3,DMF,0.0625,7.7,55.84415584415584
dppf,CsF,DMF,0.0625,2.1,0.0
dppf,K3PO4,DMF,0.0625,1.9,0.0
dppf,KOH,DMF,0.0625,14.4,70.83333333333333
dppf,Cs2CO3,DMF,0.0625,15.9,72.95597484276729
dppf,KOAc,DMF,0.0625,2.7,33.33333333333333
dppf,None,DMF,0.0625,1.9,0.0
Xanthphos,NaOH,DMF,0.0625,2.2,0.0
Xanthphos,NaHCO3,DMF,0.0625,1.9,0.0
Xanthphos,CsF,DMF,0.0625,1.9,0.0
Xanthphos,K3PO4,DMF,0.0625,1.8,0.0
Xanthphos,KOH,DMF,0.0625,2.1,0.0
Xanthphos,Cs2CO3,DMF,0.0625,2.1,0.0
Xanthphos,KOAc,DMF,0.0625,2.6,34.61538461538461
Xanthphos,None,DMF,0.0625,1.7,0.0
