base,fluoride,substrate,yield
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,CC(C)(O)CCc1ccccc1,0
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(C)(O)CCc1ccccc1,1
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(C)(O)CCc1ccccc1,0
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(O)CCc1ccccc1,22
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,53
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,63
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,63
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,65
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,60
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,88
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,84
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,98
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,89
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,82
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,94
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,91
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,106
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,101
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,91
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,94
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,98
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,104
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,95
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCc1nc(-c2ccccc2)c(-c2ccccc2)o1,94
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,53
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,68
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,71
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,74
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,54
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,52
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,68
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,72
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,66
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,53
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,49
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,69
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,80
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,82
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,76
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,48
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,67
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,78
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,66
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,72
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,6
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,13
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,14
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,17
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,29
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,17
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,26
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,30
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,36
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,38
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,21
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,31
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,34
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,40
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,49
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,32
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,38
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,45
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,49
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@@H](CO)O[C@H]1n1cnc2c(N(C(=O)c3ccccc3)C(=O)c3ccccc3)ncnc21)c1ccccc1,47
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,43
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,54
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,54
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,58
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,52
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,72
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,74
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,80
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,77
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,65
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,73
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,76
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,80
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,77
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,56
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,66
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,75
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,67
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,73
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,46
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(Cl)cc1,OCC1CCCCN1CCCc1ccccc1,6
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccccn1,OCC1CCCCN1CCCc1ccccc1,7
C1CCC2=NCCCN2CC1,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCC1CCCCN1CCCc1ccccc1,8
C1CCC2=NCCCN2CC1,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCC1CCCCN1CCCc1ccccc1,8
C1CCC2=NCCCN2CC1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC1CCCCN1CCCc1ccccc1,10
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(Cl)cc1,OCC1CCCCN1CCCc1ccccc1,21
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccccn1,OCC1CCCCN1CCCc1ccccc1,18
CN1CCCN2CCCN=C12,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCC1CCCCN1CCCc1ccccc1,22
CN1CCCN2CCCN=C12,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCC1CCCCN1CCCc1ccccc1,20
CN1CCCN2CCCN=C12,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC1CCCCN1CCCc1ccccc1,23
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(Cl)cc1,OCC1CCCCN1CCCc1ccccc1,26
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccccn1,OCC1CCCCN1CCCc1ccccc1,17
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)c1ccc(C(F)(F)F)cc1,OCC1CCCCN1CCCc1ccccc1,28
CN(C)C(=NC(C)(C)C)N(C)C,O=[N+]([O-])c1ccc(S(=O)(=O)F)cc1,OCC1CCCCN1CCCc1ccccc1,27
CN(C)C(=NC(C)(C)C)N(C)C,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC1CCCCN1CCCc1ccccc1,30
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccc(Cl)cc1,OCC1CCCCN1CCCc1ccccc1,27
CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,O=S(=O)(F)c1ccccn1,OCC1CCCCN1CCCc1ccccc1,16
